row,col,type
7061,14414,5
7061,14419,5
7061,14427,5
7061,10329,5
7061,14446,5
7061,14463,5
7061,10369,5
7061,14473,5
7061,10422,5
7061,14531,5
7061,14532,5
7061,10515,5
7061,14658,5
7061,14709,5
7061,10610,5
7061,10620,5
7061,14777,5
7061,10648,5
7061,14796,5
7061,14801,5
7061,10755,5
7061,14847,5
7061,10756,5
7061,10757,5
7061,10758,5
7061,10759,5
7061,10760,5
7061,14853,5
7061,14856,5
7061,14871,5
7061,14904,5
7061,10852,5
7061,10860,5
7061,10868,5
7061,14956,5
7061,10875,5
7061,14965,5
7061,14973,5
7061,14982,5
7061,14984,5
7061,10953,5
7061,10970,5
7061,15037,5
7061,15077,5
7061,11035,5
7061,15089,5
7061,11055,5
7061,11065,5
7061,15139,5
7061,11139,5
7061,11140,5
7061,15187,5
7061,15212,5
7061,15213,5
7061,15214,5
7061,15230,5
7061,11201,5
7061,11215,5
7061,15273,5
7061,11278,5
7061,11306,5
7061,11311,5
7061,15376,5
7061,15378,5
7061,15384,5
7061,11370,5
7061,15391,5
7061,15415,5
7061,11396,5
7061,15422,5
7061,15427,5
7061,11410,5
7061,11454,5
7061,15483,5
7061,11477,5
7061,15542,5
7061,15545,5
7061,15546,5
11658,11660,5
11658,7454,5
11658,7455,5
11658,11816,5
11658,11969,5
11658,7718,5
11658,7719,5
11658,12020,5
11658,12021,5
11658,7728,5
11658,12190,5
11658,13610,5
11658,9726,5
11658,10029,5
11658,10756,5
11658,10757,5
11658,10758,5
11658,10759,5
11658,14853,5
11658,15224,5
11658,15378,5
11658,15427,5
11660,7454,5
11660,11966,5
11660,12083,5
11660,12459,5
11660,8377,5
11660,9597,5
11660,13630,5
11660,13649,5
11660,14135,5
11660,10517,5
11660,14658,5
11660,10756,5
11660,10757,5
11660,10758,5
11660,10759,5
11660,14851,5
11660,10760,5
11660,14853,5
11660,11231,5
11660,11467,5
11662,11663,5
11662,7062,5
11662,7063,5
11662,11715,5
11662,7356,5
11662,11779,5
11662,11780,5
11662,11834,5
11662,11948,5
11662,11964,5
11662,11975,5
11662,11976,5
11662,7689,5
11662,7704,5
11662,7742,5
11662,12075,5
11662,12113,5
11662,7810,5
11662,12128,5
11662,12138,5
11662,12145,5
11662,12152,5
11662,7885,5
11662,7917,5
11662,12286,5
11662,12374,5
11662,8140,5
11662,12451,5
11662,12477,5
11662,12533,5
11662,12534,5
11662,8417,5
11662,8418,5
11662,12660,5
11662,8448,5
11662,12675,5
11662,12766,5
11662,12769,5
11662,12830,5
11662,12832,5
11662,12913,5
11662,8792,5
11662,13064,5
11662,13092,5
11662,13295,5
11662,13334,5
11662,13347,5
11662,13538,5
11662,13542,5
11662,13555,5
11662,13582,5
11662,13756,5
11662,9668,5
11662,13764,5
11662,13932,5
11662,13946,5
11662,13955,5
11662,13983,5
11662,9944,5
11662,14046,5
11662,14172,5
11662,14193,5
11662,14282,5
11662,10299,5
11662,14419,5
11662,14463,5
11662,14506,5
11662,14532,5
11662,14680,5
11662,14759,5
11662,10648,5
11662,14967,5
11662,10953,5
11662,10970,5
11662,15084,5
11662,15085,5
11662,11055,5
11662,11169,5
11662,15212,5
11662,15213,5
11662,15214,5
11662,11234,5
11662,11318,5
11662,15378,5
11662,11370,5
11662,11450,5
11662,11454,5
11662,15545,5
11663,7062,5
11663,7063,5
11663,11723,5
11663,7356,5
11663,11793,5
11663,11831,5
11663,7802,5
11663,7885,5
11663,12286,5
11663,8036,5
11663,12451,5
11663,8221,5
11663,8223,5
11663,8303,5
11663,12534,5
11663,12769,5
11663,12790,5
11663,13064,5
11663,13295,5
11663,13310,5
11663,13347,5
11663,13555,5
11663,9686,5
11663,13908,5
11663,13934,5
11663,9839,5
11663,14097,5
11663,14282,5
11663,14501,5
11663,14600,5
11663,14871,5
11663,14904,5
11663,10887,5
11663,10945,5
11663,15212,5
11663,15213,5
11663,15214,5
11663,11234,5
11663,11235,5
11663,11274,5
7062,7063,5
7062,7149,5
7062,7356,5
7062,11827,5
7062,11960,5
7062,7885,5
7062,12228,5
7062,8158,5
7062,12534,5
7062,12564,5
7062,12840,5
7062,13002,5
7062,13334,5
7062,13347,5
7062,13412,5
7062,13427,5
7062,9515,5
7062,9649,5
7062,9973,5
7062,10089,5
7062,14282,5
7062,10262,5
7062,10382,5
7062,14871,5
7062,15223,5
7062,15224,5
7063,7324,5
7063,7356,5
7063,11815,5
7063,11816,5
7063,11818,5
7063,11936,5
7063,11975,5
7063,7704,5
7063,12010,5
7063,12021,5
7063,7728,5
7063,12060,5
7063,12113,5
7063,12128,5
7063,12145,5
7063,7885,5
7063,12286,5
7063,12374,5
7063,12477,5
7063,12533,5
7063,12534,5
7063,12548,5
7063,8339,5
7063,8417,5
7063,8516,5
7063,8547,5
7063,8548,5
7063,12741,5
7063,12766,5
7063,8792,5
7063,8811,5
7063,8812,5
7063,12989,5
7063,8813,5
7063,13002,5
7063,13064,5
7063,13087,5
7063,13092,5
7063,13096,5
7063,8972,5
7063,13347,5
7063,13446,5
7063,9442,5
7063,9500,5
7063,13538,5
7063,9524,5
7063,13756,5
7063,9665,5
7063,9668,5
7063,9676,5
7063,13764,5
7063,13790,5
7063,9764,5
7063,13867,5
